name,price
"LAPTOP / NEC INTEL CORE i5 - 4TH GEN / 4GB OR 8GB RAM OPTION / STORAGE OPTIONS (HDD OR SSD) / FREE BAG/POUCH, WEBCAM , MOUSE , EXTENDED MOUSEPAD / WIFI READY / CHARGER INCLUDED / USED","₱7,440.00"
Brand New Original Cheap Oem i7/11th gen cpu intel J4125 laptop 15.6 Inch RAM 8GB/12GB SSD 128GB/256GB/512GB Laptops Win10 Netbook Computer Free gift ASUS ROG Mouse and office[1 Year Warranty] suitable for students murah,"₱19,799.01"
"Acer Aspire 3 A315-58-55A6 15.6"" FHD, Core i5-1135G7, 8GB, 512GB SSD, Win11, FREE MS OFFICE LIFETIME (PC CENTRAL)","₱38,609.00"
HP Elitebook 820 G1 [Brand New] legit Laptop Intel Quad/Dual-Core i7/i5 8G/12G/16G RAM 128G SSD+500G/1T HDD 12.5 Inches Screen Built In Camera/Webcam Business Work at home Windows11 Pro Ms office 365 Online Class Learning Computer WiFi/Bluetooth/Notebook,"₱19,880.00"
CPU SET / READY TO USE / INTEL CORE i3 2ND/3RD GEN / 4GB RAM / 250GB HDD / INTEL HD GRAPICS / WIFI AND WINDOWS READY/ GOOD FOR ONLINE AND WORK,"₱3,499.00"
Laptop pouch black w/zipper /14.6 InchLaptop Pouch 14/15.6 inch Zipper Soft Sleeve bag,₱95.00
"Laptop  Lowest Price Sale CLASS B ( Toshiba R632H Intel Core i5 3rd gen 4gb Ram, 120gb Ssd ) Intel Hd Graphics Good for Online Class and Good For Work From Home Charger Included(ISSUe:  white spot and faded color","₱9,000.00"
"[Sale] Dell Ultrabook Intel Core i7 Vpro 8GB/16GB RAM (14 inch, 12.5 inch~256G/512GB SSD), Windows 10/11 OS, MS Office Pro + , Photo Shop, ETC Limited  Stock read details...","₱27,199.00"
[1 Year Warranty][Brand New]Lenovo ThinkPad T450s Laptop Intel Dual/Quad-Core i5/i7 8G/12G RAM 128G SSD+500GB/1T HDD ROM 14-inch Screen Built-in WEBCAM/Camera Ms office Windows 10 Pro Operating system WiFi Bluetooth Portable business notebook,"₱21,880.00"
[Philippines stock] Free Asus Gaming Mouse New original for laptop office use 15.6-inch 11th gen CPU intel N5095/Core i7 16GB RAM 512GB SSD ROM with full-size keyboard 1920*1080 screen laptop window 10 suitable for students murah,"₱26,729.01"
Apple MacBook Air 13-inch M1 Chip  with 8‑Core CPU and 7‑Core GPU 256 GB Storage,"₱57,890.00"
"2022 brand new cheap laptop 15.6Inch FHD IPS 11th gen CPU intel J4125/i7-4500U 8GB/12GB RAM 1T/512/256/128GB SSD Windows10/11 Gaming Laptop With Fingerprint Backlit BT4.0 Dual WiFi Free ASUS Mouse with Order One-year local warranty, same-day delivery","₱23,759.01"
[Brand New] HP Elite X2 1012 G1 laptop 2-in-1 Tablet computer Intel Core M M5/M7 6Y54/6y75 4G/8G RAM 256G/512G/1T SSD FHD UWVA eDP IPS 1920×1080 12.3' touch screen 1080P Built-in camera Windows11 Pro Ms office 365 surface Online Class Business,"₱30,880.00"
HUAWEI MateBook D 15 Laptop | Intel® Core™ i3-10110U processor | 8GB+256GB | 15.6-inch IPS anti-glare screen | HUAWEI Share,"₱24,998.00"
"HP Laptop [Brand New] Elitebook 840 G1 [1 year Warranty] Intel Dual/Quad-Core i5/i7 8G/12G/16G RAM 128G SSD+500GB/1T HDD 14"" Inches Screen Built In Camera/Webcam Business Work Windows10 Pro Ms office Online Learning Computer WiFi/Bluetooth/Notebook","₱19,880.00"
Official ViviBook Laptop 15.6 inch IPS Screen 11th gen CPU 8GB RAM 128GB EMMC Windows 10 Intel J4125/Core i7 38000mWh Laptop For Sale Brand New Original Authentic Online Learning Computer PC Thin business computer1 year warranty,"₱16,829.01"
"Laptop Panasonic CF-SX2 Intel Core i5- 3rd Gen. 4gb ddr3 120gb hdd Intel hd Graphics 12.1""screen display built in camera wifi ready with Prepaid Globe at Home Modem Laptop Bag","₱5,998.00"
Dell Inspiron 15 3511 15.6 FHD i5-1035G1 8GB RAM 256GB SSD Win11 Home Carbon Black 884116406617,"₱31,995.00"
Brand New  ThinkPad X260 laptop Intel Quad/Dual-Core i7/i5-6600u/6300u 8G/16G DDR4 RAM 256G/512G/1T SSD ROM Built In Camera/WEBCAM Ms office windows 11 PRO Ultra-thin 12.5 inch Screen Online class/learning WIFI Bluetooth Business notebook computer,"₱21,480.00"
Dell E6430 / E6530/ E6420  intel core i3/ i5 / i7 480G SSD 14.1/15.6 inch hd lightweight portable students office business gaming  laptop,"₱19,700.00"
"【Clearance sale，Good Quanlity】Intel i7 8th Gen I5 8th Gen Processor 99% New Used laptop Gaming laptop  15.6""/14"" Screen Display with 2G independent graphics card 4G 8GB RAM 120GB/240GB SSD 1TB HDD Storage Authentic Laptop Asus Laptop ACER Laptop","₱18,899.00"
15.6 inch HD Screen latest laptop 2022 intel core i5-5200U laptop ram 8GB+256GB SSD Brand New Original high-end laptop portable business student gaming computer MS Office Preinstalled and Windows 10 Pro Free Asus Computer Backpack,"₱23,759.01"
"LAPTOP LOWEST PRICE SALE  (ASSORTED TOSHIBA i5 4TH GEN 4GB RAM, 320/500GB/128GB SSD ) with free WEBCAM GOOD FOR ONLINE CLASS and GOOD FOR WORK FROM HOME","₱8,200.00"
"Laptop HP Probook 450 Brand / Intel Core i5 4th 4200M GEN/  2.50GHZ / 8GB Ram DDR3 / 500GB HDD / Intel HD Graphics / Wifi and Windows Ready / Good for Basic Games , Work, Office Use and Online Class","₱11,500.00"
"Computer Lowest Price Sale Hp Elite 8300 Intel Core i3 3rd gen 4gb ram 120GD SSD  20/17 Inches Monitor, Mouse/Keybaord, Mousepad, Wifi Dongle, Good for Work from Home and Online Class","₱6,990.00"
"Brandnew Dhp laptop Intel Core i7 4600U 2.1Ghz Basic Frequency 15.6 inch Ultra-light-weight,Ultrathin With Numeric Keypad 4G 8G 16G DDR3 Memory 120G 240G 480G SSD for Gaming PUBG LOL CF  Office Study Home Entertainment","₱15,934.00"
COD!!! Lenovo N21 Chromebook Laptop Refurbished,"₱6,499.00"
"HP 15S-EQ3045AU (Natural Silver) Laptop - 15.6"" FHD | AMD Ryzen 5 5625U 6 Cores | 8GB or 16GB RAM | 512GB SSD | AMD Vega Graphics | Windows 11 | MS Office Home and Student","₱35,495.00"
[Brand New]ThinkPad Yoga 260 2-in-1 laptop Tablet computer Intel Quad/Dual-Core i7/i5 DDR4 8G/16G RAM 256G/512G/1T SSD brilliant 12.5'' touch screen Windows11 Pro Ms office Online Class Learning Computer WiFi/Bluetooth/Notebook/Business,"₱25,500.00"
HP Laptop Brand New Original Elitebook 820 G1 Intel Quad/Dual-Core i7/i5 8/12/16GB RAM 128G SSD+500G/1T HDD 12.5 Inches Screen Built In Camera/Webcam Business Work Windows11 Pro Ms office Online Learning Computer WiFi/Bluetooth/Notebook computer,"₱22,880.00"
HP 15S-FQ5082TU (Natural Silver) Laptop - 15.6-in FHD | Intel i5-1235U 10 Cores i5 12th Gen / 8GB or 16GB RAM | 512GB SSD| Intel Iris Xe Graphics | Window 11 / MS Office Lifetime,"₱43,995.00"
HUAWEI MateBook D 15 2021 Laptop | Intel® Core™ i3-1115G4 | 8GB+256GB | Eye Comfort HUAWEI FullView Display | Super Device | Fingerprint Power Button,"₱31,999.00"
KUU Brand New Original Laptop XBOOK 2 14.1 FHD Screen Intel Celeron J4105 8GB RAM 128GB/256GB SSD Ultra HD Graphics 600 Windows 11 Student Laptops with WiFi Bluetooth,"₱10,475.00"
"CHUWI Official GemiBook 13inches Ultra Thin and Light Laptop 2K IPS Screen 8G RAM 256GB SSDIntel Celeron J4125 Quad Core 2.8Ghz Full Metal Home and Business PC Backlit Keyboard, PD Fast-Charging online learning","₱15,569.09"
NEW 2022 Teclast 15.6 inch F15 Plus Intel Celeron Laptop Notebook  Notebook DDR4 8GB SSD 256GB ROM Windows 10 OS With Silent Cooling Mini-HDMI slot Dual-band Wi-Fi Bluetooth Fan1 year warranty,"₱15,990.00"
"Huawei MateBook D16 2022 i7-12700H Xe Graphics 16"" IPS 1920x1200 60Hz 16GB LPDDR4x 512GB SSD","₱59,850.00"
laptop(Students Learn Computer Online)Quad-Core Intel N3350(2.3GHZ) （To upgrade the configuration 2022）windows10 3GB+32GB SSD Netbook 10.1 Inch Mini netbook laptop(5-7 Hours Battery Life),"₱7,699.00"
HP ProBook 450 G1[Brand New] legit Original laptop Intel Quad/Dual-Core i7/i5/i3 8G/12G/16G RAM 256G/512G/1T SSD 15.6-inch Large screen Built-in camera/Optical Disk Drive Business notebook computer online class study/Learning Ms office 365 Windows 11 Pro,"₱23,880.00"
HP 6570b/ 450G1 Laptop Brand New Original Intel Core I3/I5/I7 SSD 480/240/120G Ultra-thin and Portable Computer 15.6 Inch HD Screen for Business Office Online Class Game PC,"₱14,699.00"
Apple MacBook Pro 13-inch M2 Chip 8‑core CPU 10‑core GPU - 8GB,"₱86,990.00"
DELL Laptop Brand New Laptop Original 14.1/15.6 inch HD Screen Intel Core i3/i5/i7 16G RAM 480G SSD High End Laptop Portable Laptop Sale Brand New Original Authentic Legit Online Learning gaming Windows 10 Ultra-thin Portable Computer PC 1 Year Warranty,"₱21,500.00"
